hypothesis_id,assessment,publication_safe_statement,remaining_gap
H001,STRENGTHENED_DESCRIPTIVELY,"Representation-state divergence is repeatedly observed within the submitted account record.","No mechanism or universal prevalence."
R11-H05,REPEATEDLY_SUPPORTED_WITHIN_SUBMITTED_ACCOUNT_RECORD,"Generated ZIPs are not uniformly downstream reusable in the recorded routes.","No all-account or future-release conclusion."
R11-H06,CONFIRMED_FOR_REUPLOAD_SPECIMENS,"Re-upload created an operational replacement in recorded specimens.","No proof the original object was repaired."
R11-H07,DISPROVEN_FOR_ATTESTED_CONTROLLED_SPECIMEN,"The attested current controlled ZIP is valid and contains the expected payload.","Historical browser-download provenance is not independently corroborated."
R11-H08,DISPROVEN_FOR_ATTESTED_CONTROLLED_SPECIMEN,"The 133-byte one-member specimen excludes size and archive complexity for that specimen.","No general format mechanism established."
R11-H23,STRONGLY_SUPPORTED_DESCRIPTIVE_ASSOCIATION,"Generated ZIP route outcomes and uploaded-control outcomes differ in the submitted account record.","Origin is confounded by lineage naming and object state."
R11-H34,UNRESOLVED_UNIVERSALLY,"The eleven submitted targets support a repeated tested-account pattern.","No universal conclusion."
R11-H49,SUPPORTED_WITH_FIRST_PARTY_PROVENANCE,"Current controlled bytes match the prior recorded uploaded-copy hash.","Separate uploaded bytes and original hash receipt absent."
H002,UNRESOLVED,"Displayed identity and runtime paths can diverge.","No stale-byte substitution or physical deduplication proof."
H005,DISFAVORED,"One common backend cause for all anomaly types is not supported.","Different dates surfaces controls and alternatives remain."
