item_id,date,source_class,anomaly_class,symptom_summary,evidence_grade,status,independence_group,source_reference,connection_to_main_finding,publication_notes
AAR-01,2026-07,OPERATOR_TEST_RECORD,LIBRARY_PICKER_DIVERGENCE,"Recorded generated ZIP unavailable through explicit picker while uploaded control worked",B,directly observed,OPERATOR_GZIP_DIRECT,"E0049",related symptom only,"Two direct comparisons only"
AAR-02,2026-07,OPERATOR_COMPOSITE_RECORD,EXACT_TARGET_RETRIEVAL,"Exact-looking results did not resolve requested object",C,partially evidenced,OPERATOR_RETRIEVAL,"E0039; E0049",related symptom only,"No internal retrieval mechanism claim"
AAR-03,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,DISPLAYED_IDENTITY,"Same displayed filename with different reachability",C,partially evidenced,OPERATOR_IDENTITY,"E0039",related symptom only,"Object identity not independently established"
AAR-04,2026-07,LOCAL_BINARY_RECOVERY,EPUB,"Locally valid EPUB; product-route behaviour unresolved",B,directly observed,OPERATOR_EPUB,"E0041",unknown,"Local byte fact only"
AAR-05,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,IMAGE_RETRIEVAL_OPENING,"Search representation versus image opening or byte retrieval divergence",C,partially evidenced,OPERATOR_IMAGE,"E0039",unknown,"Route receipts incomplete"
AAR-06,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,PDF_REPRESENTATION,"Rendered PDF pages differed from extracted text or image content",C,partially evidenced,OPERATOR_PDF,"E0039",unknown,"No corruption conclusion"
AAR-07,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,SPREADSHEET_CONTENT,"Summary or export contained unsupported or incomplete content",C,partially evidenced,OPERATOR_SHEET,"E0039",unknown,"No source/output-pair conclusion"
AAR-08,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,CSV_STRUCTURE,"Header-only or structurally deficient CSV output",C,partially evidenced,OPERATOR_CSV,"E0039",unknown,"No general export conclusion"
AAR-09,2026-07,LOCAL_PDF_VISUAL_FORENSICS,CONNECTOR_SURFACE,"Reconnect Gmail card followed Library search narration",B,directly observed,OPERATOR_GMAIL_SURFACE,"E0042; SS-PUB-001",no demonstrated connection,"Does not show Gmail invocation"
AAR-10,2026-07,LOCAL_PDF_VISUAL_FORENSICS,PROGRESS_NARRATION,"Progress-like narration preceded disclosed Library retrieval errors",B,directly observed,OPERATOR_PROGRESS,"E0042; SS-PUB-002",no demonstrated connection,"Does not establish hidden execution"
AAR-11,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,RESUME_STATE,"Narrative context retained without retained physical artifacts",C,partially evidenced,OPERATOR_RESUME,"E0039",no demonstrated connection,"Interruption traces incomplete"
AAR-12,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,AUTHORITY_SUBSTITUTION,"Metadata or reconstructions appeared when authoritative bytes were unavailable",C,partially evidenced,OPERATOR_SUBSTITUTION,"E0039",related symptom only,"Substitute is not original"
AAR-13,2026-07,OPERATOR_TEST_RECORD,DOWNLOAD_REUSE,"Browser-download exposure differed from later downstream reuse",B,directly observed,OPERATOR_GZIP_DIRECT,"E0049",related symptom only,"Recorded route only"
AAR-14,2026-07,OPERATOR_TEST_RECORD,GENERATED_UPLOADED_COMPARISON,"Uploaded operational copy usable where generated object was not",B,directly observed,OPERATOR_GZIP_DIRECT,"E0045; E0049",related symptom only,"Provenance ceiling retained"
