item_id,date,source_class,anomaly_class,symptom_summary,evidence_grade,status,independence_group,source_reference,connection_to_main_finding,publication_notes
PAR-01,2026-05-29,PUBLIC_USER_REPORT,LIBRARY_VISIBILITY,"Older Library items missing while export retained older files",D,anecdotal public report,S0010,"S0010; snapshot external-only captured 2026-07-16",possibly adjacent,"Anecdotal; non-reproduction present"
PAR-02,2026-06-08,PUBLIC_USER_REPORT,LIBRARY_DELETION,"Delete confirmation had no effect and user reported 404",D,anecdotal public report,S0011,"S0011; snapshot external-only captured 2026-07-16",possibly adjacent,"Anecdotal"
PAR-03,2026-07-09,PUBLIC_USER_REPORT,PICKER_NAVIGATION,"Requested Library browsing while attaching",D,contradicted or mismatched,S0012,"S0012; snapshot external-only captured 2026-07-16",related symptom only,"Current docs later describe Add from library"
PAR-04,2026-06-09,PUBLIC_USER_REPORT,ZIP_DOWNLOAD,"Incomplete export ZIPs with extraction errors",D,anecdotal public report,S0013,"S0013; snapshot external-only captured 2026-07-16",related symptom only,"Anecdotal"
PAR-05,2026-03-11,PUBLIC_USER_REPORT,GENERATED_ARTIFACT_DOWNLOAD,"Generated ZIP or document downloads failed; recovery posts also present",D,anecdotal public report,S0015,"S0015; snapshot external-only captured 2026-07-16",related symptom only,"Anecdotal and transient"
PAR-06,2026-01-29,PUBLIC_USER_REPORT,AGENT_PERSISTENCE,"Knowledge inaccessible with Updates Pending not persisting",D,anecdotal public report,S0037,"S0037; snapshot external-only captured 2026-07-16",no demonstrated connection,"S0038 cross-post excluded"
PAR-07,2026-07,PUBLIC_USER_REPORT,SOURCE_CONTENT_DIVERGENCE,"Visible source names but unavailable content",D,anecdotal public report,S0024,"S0024; external-only",possibly adjacent,"Assistant diagnosis excluded"
PAR-08,2026-01-20,PUBLIC_USER_REPORT,MOBILE_FILE_REFERENCE,"Mobile MCP upload references incomplete versus web",D,anecdotal public report,S0026,"S0026; snapshot external-only captured 2026-07-16",no demonstrated connection,"Apps SDK scope; no maintainer confirmation"
PAR-09,2024-04-12,PUBLIC_USER_REPORT,WRONG_OBJECT_RETRIEVAL,"Assistant API report of inaccessible or wrong uploaded file",D,anecdotal public report,S0027,"S0027; snapshot external-only captured 2026-07-16",related symptom only,"Historical API; heterogeneous alternatives"
PAR-10,2026-06-24,PUBLIC_USER_REPORT,DOWNLOAD_LIBRARY_DIVERGENCE,"Downloadable files or images reportedly absent from Library",D,anecdotal public report,S0028,"S0028; external-only",related symptom only,"Anecdotal"
PAR-11,2025-04-05,PUBLIC_USER_REPORT,IMAGE_OPENING,"Downloaded generated PNG reportedly would not open",D,anecdotal public report,S0031,"S0031; external-only",unknown,"No bytes supplied"
PAR-12,2025-01_TO_2025-06,PUBLIC_USER_REPORT,SPREADSHEET_HANDLING,"Incorrect spreadsheet values or CSV/XLSX visualization/export errors",D,anecdotal public report,"S0039;S0040","S0039; S0040; external-only",unknown,"Two separate reports; no fixtures"
PAR-13,2026-06-26,PUBLIC_USER_REPORT,PDF_EXTRACTION,"Unsupported values reported from mixed text/image PDF",D,anecdotal public report,S0041,"S0041; external-only",unknown,"No PDF or output supplied"
