evidence_id,original_filename,public_filename,original_size_bytes,original_sha256,public_size_bytes,public_sha256,provenance_class,publication_status,reason_withheld_or_redacted,claims_supported,independence_or_duplication_note
E0045,library_resolver_probe_20260716T094002_864448_SGT.zip,evidence/controlled-specimens/library_resolver_probe_20260716T094002_864448_SGT.zip,133,5fab734dd83922a63bfbb1f4ce3e68b7a3d222ffaf6b039b49ea5a2e5137d046,133,5fab734dd83922a63bfbb1f4ce3e68b7a3d222ffaf6b039b49ea5a2e5137d046,OPERATOR_SUBMITTED_BINARY_WITH_FIRST_PARTY_PROVENANCE,PUBLISHED,"Current bytes independently verified; asserted original browser-download origin remains first-party attestation.",P004;P005;P006,"The separately preserved uploaded comparison bytes are unavailable; hash match is to a prior recorded identity."
SS-PUB-001,early_diagnosis.png,evidence/screenshots/early_diagnosis_redacted.png,601230,c63c716ae31f5eb6e055d3fa09dcc93ee465b22ec55c64442fce59b8de55b28d,439501,73fc4a331b5fb89e13e44f8ceccebdd614a0ef3e5522acc3d13c7cd175f9ec76,OPERATOR_SUPPLIED_SCREENSHOT,REDACTED_DERIVATIVE,"Original withheld; derivative removes personal attack and ableist wording and crops closing text.",P007,"Derivative documents visible exchange only; not independent proof of architecture."
SS-PUB-002,Library_loop.png,evidence/screenshots/Library_loop_redacted.png,184458,2c1d6fcc831e1253e0d51454ebdc831f46bc97d21d2216be5122ec6b8d3cd364,156781,2abf91ac6c83e9e9a808ad0f8a5333e5ab749d5f96747e9cf09c828d4b98f87c,OPERATOR_SUPPLIED_SCREENSHOT,REDACTED_DERIVATIVE,"Original withheld; profanity and ableist self-insult replaced with visible markers.",P008,"Derivative documents visible pause narration only; no hidden tool-state claim."
E0042,WITHHELD_PRIVATE_SOURCE_PDF,,493358,3d5e712e53cf0c5fd0a174d482df06de8285066fc885914a85bf515a49323c25,,,LOCAL_PDF_VISUAL_FORENSICS,WITHHELD,"Private/third-party source PDF and unredacted embedded exhibits are not published.",P007;P008,"Redacted screenshots are derivative exhibits, not independent observations."
E0049,unexported_primary_nine_target_assistant_side_audit,,N/A,N/A,,,OPERATOR_SUBMITTED_STRATIFIED_TEST_RECORD,WITHHELD_NOT_AVAILABLE,"Primary source bytes were not included in the private intake; only the derived record is available.",P005,"Nine assistant-side rows remain lower-tier than the two direct picker comparisons."
R11-E001_TO_E034,WITHHELD_PRIVATE_COMPOSITE_RECORD,,50273,eaa26668accd2027b5a414d69d4743c5ba9f5fc2a787cf8b64fddfa3c82ef27a,,,OPERATOR_SUBMITTED_COMPOSITE_RECORD,WITHHELD,"Contains broader private evidence references and is unnecessary for the public scoped audit.",P005;P006,"The public tables are curated derivations and do not count as independent corroboration."
S0001_TO_S0036,OpenAI_first_party_public_records,evidence/public-records/OPENAI_FILE_RECORDS.csv,N/A,N/A,N/A,N/A,FIRST_PARTY_PUBLIC_RECORD_METADATA,CURATED_METADATA_ONLY,"URLs titles dates concise observations and ceilings are published instead of copied webpages.",P001;P002;P003,"No full third-party pages mirrored."
E0041,WITHHELD_LOCAL_EPUB_RECOVERY,,1701606,c90c8769a5e4d4b4dac422ea315b1573f359d0e7ee87cf854aea6ffc57a8303e,,,LOCAL_BINARY_RECOVERY,WITHHELD,"The byte-verified EPUB is private and does not establish Library picker or materialisation behaviour.",APPX-AAR-04,"Published appendix records local validity only; no private EPUB is exported."
APPX-SNAPSHOT-S0010,WITHHELD_PUBLIC_SNAPSHOT_S0010,,N/A,N/A,,,PUBLIC_ANECDOTE_SNAPSHOT,EXTERNAL_ONLY,"Dated capture exists privately; original page is cited in appendix and user content is not republished.",APPX-PAR-01,"No prevalence or mechanism inference."
APPX-SNAPSHOT-S0011,WITHHELD_PUBLIC_SNAPSHOT_S0011,,N/A,N/A,,,PUBLIC_ANECDOTE_SNAPSHOT,EXTERNAL_ONLY,"Dated capture exists privately; original page is cited in appendix and request IDs/user content are not republished.",APPX-PAR-02,"No prevalence or mechanism inference."
APPX-SNAPSHOT-S0012,WITHHELD_PUBLIC_SNAPSHOT_S0012,,N/A,N/A,,,PUBLIC_ANECDOTE_SNAPSHOT,EXTERNAL_ONLY,"Dated capture exists privately; original page is cited in appendix.",APPX-PAR-03,"Current documentation creates temporal ambiguity."
