source_id,record_type,source_date,accessed_at,title,url,publication_safe_observation,claim_ceiling
S0001,FIRST_PARTY_DOCUMENT,CURRENT_PAGE,2026-07-16,File storage and Library in ChatGPT,https://help.openai.com/en/articles/20001052-file-storage-and-library-in-chatgpt,"Current documentation describes automatic saving of uploaded and generated files and an Add from library composer flow.","Current stated behavior only; not proof of universal availability or historical behavior on every date."
S0003,PUBLIC_PRIMARY_SOURCE,2026-07-13,2026-07-16,"Users may experience elevated errors uploading, deleting, and navigating files in the ChatGPT Library",https://status.openai.com/incidents/01KXDBYJ7BWBE2NRDAQTKPM5WK,"OpenAI publicly recorded a Library incident: investigating 2026-07-13T09:11:53Z (17:11:53 SGT) and resolved 2026-07-13T14:35:47Z (22:35:47 SGT).","No public root cause, prevalence, tier, internal component, internal-detection time, or account-specific conclusion."
S0004,FIRST_PARTY_DOCUMENT,CURRENT_PAGE,2026-07-16,File Uploads FAQ,https://help.openai.com/en/articles/8555545-file-uploads-faq,"Current guidance distinguishes text-based retrieval from visual retrieval behavior for PDFs.","Documented contract only; plan, surface, and upload path matter."
S0005,FIRST_PARTY_DOCUMENT,CURRENT_PAGE,2026-07-16,Visual Retrieval with PDFs FAQ,https://help.openai.com/en/articles/10416312-visual-retrieval-with-pdfs-faq,"Visual PDF retrieval is documented as Enterprise-only and path-dependent.","Does not establish historical behavior for a particular account or file."
S0009,FIRST_PARTY_DOCUMENT,CURRENT_PAGE,2026-07-16,Troubleshooting ChatGPT Error Messages,https://help.openai.com/en/articles/7996703,"Current guidance provides client-side and generated-file-expiry alternatives for some file symptoms.","Alternatives are not a diagnosis of any specific submitted event."
S0032,PUBLIC_PRIMARY_SOURCE,2026-03-10_TO_2026-03-12,2026-07-16,Increased errors with ChatGPT file downloads,https://status.openai.com/incidents/01KKD07DNHFKAWK5JCAMAASYGZ,"OpenAI recorded a discrete file-download incident.","Incident identity does not prove the cause of a particular report."
S0033,PUBLIC_PRIMARY_SOURCE,2026-03-10_TO_2026-03-12,2026-07-16,Increased errors on ChatGPT File Uploads,https://status.openai.com/incidents/01KKCT34VDK552CSMP286DS9HE,"OpenAI separately recorded a file-upload incident.","No public technical root cause."
S0034,PUBLIC_PRIMARY_SOURCE,2026-06-23,2026-07-16,"Users may experience elevated errors in ChatGPT uploading and downloading files",https://status.openai.com/incidents/01KVTDW6E1PXBTY2A9XEBT4MY4,"OpenAI recorded a partial outage with elevated file upload and download errors.","Temporal adjacency to other reports is not causal linkage."
S0035,PUBLIC_PRIMARY_SOURCE,2026-05-11,2026-07-16,"Users may experience elevated errors in ChatGPT uploading files and Codex Cloud creating tasks",https://status.openai.com/incidents/75mc9vgr,"OpenAI recorded elevated ChatGPT file-upload errors.","Does not validate individual workarounds or mechanisms."
S0036,PUBLIC_PRIMARY_SOURCE,2026-03-25,2026-07-16,Unable to download or preview project files,https://status.openai.com/incidents/01KMH5C6HVAYJ9SS3REEAWXB6R,"OpenAI recorded an incident in which Project files could not be downloaded or previewed.","No public root cause or demonstrated relationship to later reports."
