item_id,date,source_class,anomaly_class,symptom_summary,evidence_grade,status,independence_group,source_reference,connection_to_main_finding,publication_notes
OAR-01,2026-03-10_TO_2026-03-12,FIRST_PARTY_STATUS,FILE_TRANSFERS,"Separate official upload and download incidents in one window",A,confirmed event,OPENAI_MARCH_2026,"S0032; S0033; external original URLs in appendix",related symptom only,"No public root cause"
OAR-02,2026-03-25,FIRST_PARTY_STATUS,PROJECT_FILE_PREVIEW,"Project files could not be downloaded or previewed",A,confirmed event,OPENAI_2026-03-25,"S0036; external original URL in appendix",possibly adjacent,"No public root cause"
OAR-03,2026-05-11,FIRST_PARTY_STATUS,FILE_UPLOAD,"Elevated ChatGPT upload errors",A,confirmed event,OPENAI_2026-05-11,"S0035; external original URL in appendix",related symptom only,"No public root cause"
OAR-04,2026-06-23,FIRST_PARTY_STATUS,FILE_TRANSFERS,"Elevated ChatGPT upload and download errors",A,confirmed event,OPENAI_2026-06-23,"S0034; external original URL in appendix",related symptom only,"No public root cause"
OAR-05,2026-07-13,FIRST_PARTY_STATUS,LIBRARY,"Elevated errors uploading deleting and navigating Library files",A,confirmed event,OPENAI_2026-07-13,"S0003; external original URL in appendix",possibly adjacent,"No public root cause"
AAR-01,2026-07,OPERATOR_TEST_RECORD,LIBRARY_PICKER_DIVERGENCE,"Recorded generated ZIP unavailable through explicit picker while uploaded control worked",B,directly observed,OPERATOR_GZIP_DIRECT,"E0049",related symptom only,"Two direct comparisons only"
AAR-02,2026-07,OPERATOR_COMPOSITE_RECORD,EXACT_TARGET_RETRIEVAL,"Exact-looking results did not resolve requested object",C,partially evidenced,OPERATOR_RETRIEVAL,"E0039; E0049",related symptom only,"No internal retrieval mechanism claim"
AAR-03,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,DISPLAYED_IDENTITY,"Same displayed filename with different reachability",C,partially evidenced,OPERATOR_IDENTITY,"E0039",related symptom only,"Object identity not independently established"
AAR-04,2026-07,LOCAL_BINARY_RECOVERY,EPUB,"Locally valid EPUB; product-route behaviour unresolved",B,directly observed,OPERATOR_EPUB,"E0041",unknown,"Local byte fact only"
AAR-05,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,IMAGE_RETRIEVAL_OPENING,"Search representation versus image opening or byte retrieval divergence",C,partially evidenced,OPERATOR_IMAGE,"E0039",unknown,"Route receipts incomplete"
AAR-06,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,PDF_REPRESENTATION,"Rendered PDF pages differed from extracted text or image content",C,partially evidenced,OPERATOR_PDF,"E0039",unknown,"No corruption conclusion"
AAR-07,2026-03_TO_2026-07,OPERATOR_COMPOSITE_RECORD,SPREADSHEET_CONTENT,"Summary or export contained unsupported or incomplete content",C,partially evidenced,OPERATOR_SHEET,"E0039",unknown,"No source/output-pair conclusion"
